variant,strategy,tier,dev_n,dev_clv_pts,dev_clv_prob_pp,dev_ev_pct,dev_ev_z,dev_win_pct,dev_flat_roi_pct,y2025_n,y2025_clv_pts,y2025_clv_prob_pp,y2025_ev_pct,y2025_flat_roi_pct,kelly_2024_track_pp,kelly_2024_bets,kelly_2024_expected_growth_pct,kelly_2024_realized_growth_pct,kelly_2025_track_pp,kelly_2025_bets,kelly_2025_expected_growth_pct,kelly_2025_realized_growth_pct,dev_ev_holm_pass
best_book,spreads|A|availability,in_week,546,0.4799,1.7812,-0.7019,-1.414,48.9642,-5.9108,259,0.6351,2.3796,-1.31,1.384,1.5821,88,-0.813,-4.7859,1.7812,29,0.8887,2.1709,False
best_book,spreads|C|melo,prior_week,554,0.5731,2.1201,-0.2727,-0.6599,52.8757,1.0361,271,0.9446,3.3436,1.3767,0.27,2.2443,116,-1.1933,-8.4088,2.1201,47,1.2638,3.0404,False
best_book,spreads|A|wired_W7,prior_week,554,0.4937,1.8506,-0.8677,-1.9191,51.8587,-0.7675,271,0.8192,2.8774,-0.4335,-9.9683,1.8532,104,-1.0353,1.6502,1.8506,35,1.0902,-2.7193,False
best_book,totals|G|pool,prior_week,557,0.8833,2.4032,0.3199,0.6217,51.6423,-1.2321,277,0.4819,1.359,-2.3863,-2.4509,2.6015,251,0.2924,4.5742,2.4032,221,-0.247,-1.5821,False
reference,totals|A|wired_W12_total,prior_week,557,0.0996,0.2732,-3.9333,-11.3163,52.6606,0.5098,277,-0.1011,-0.2779,-4.8738,-1.9691,0.0304,1,0.0347,-0.6708,0.2732,0,0.0,0.0,False
best_book,totals|A|kmulti_minus_explosive_total,prior_week,557,0.9551,2.6051,0.7071,1.4224,52.9304,1.1666,277,0.7076,1.9968,-1.4014,-0.5677,2.8373,257,0.3233,8.6409,2.6051,213,-0.3021,2.3426,False
best_book,spreads|C|kmulti_pass_epa,prior_week,554,0.6354,2.3353,0.1826,0.4305,50.2793,-3.7949,271,0.8192,2.9243,0.4067,2.5822,2.4116,201,-1.1717,-12.9843,2.3353,64,1.19,1.8826,False
best_book,totals|C|wired_W13_total,prior_week,557,0.9057,2.4938,0.595,1.2906,52.0147,-0.4595,277,0.6751,1.9112,-1.6963,-5.9094,2.7879,262,0.0983,-0.3204,2.4938,200,-0.0858,1.6291,False
best_book,totals|A|kmulti_rush_epa_total,prior_week,557,0.754,2.0437,-0.2684,-0.6259,53.5649,2.5187,277,0.4838,1.3586,-2.3871,-1.0659,2.1505,104,0.0305,5.6495,2.0437,38,-0.0244,1.1986,False
best_book,totals|A|kmulti_minus_drive_scoring_total,prior_week,557,0.9336,2.5391,0.5257,1.1282,53.4926,2.1817,277,0.639,1.8034,-1.7134,-3.2328,2.7761,254,0.1734,11.6349,2.5391,213,-0.1707,2.7972,False
