read_at	http	secs	uptime_s	derived_start	crossed	interval_s
2026-09-20T00:42:22Z	200	0.805654	56	2026-09-20T00:41:27Z	ok	60
2026-09-20T00:43:22Z	000	25.002466				60
2026-09-20T00:44:22Z	200	18.446796	17	2026-09-20T00:44:23Z	crossed	60
2026-09-20T00:45:22Z	200	0.409232	59	2026-09-20T00:44:24Z	ok	60
2026-09-20T00:46:22Z	000	25.001961				60
2026-09-20T00:47:22Z	200	14.695688	12	2026-09-20T00:47:25Z	crossed	60
2026-09-20T00:48:22Z	200	0.353045	57	2026-09-20T00:47:25Z	ok	60
2026-09-20T00:49:22Z	000	25.002083				60
2026-09-20T00:50:22Z	200	17.673542	14	2026-09-20T00:50:26Z	crossed	60
2026-09-20T00:51:22Z	200	0.462556	56	2026-09-20T00:50:26Z	ok	60
2026-09-20T00:52:22Z	000	25.001024				60
2026-09-20T00:53:22Z	200	15.839372	12	2026-09-20T00:53:25Z	crossed	60
2026-09-20T00:54:22Z	200	0.456875	57	2026-09-20T00:53:26Z	ok	60
2026-09-20T00:55:22Z	000	25.001929				60
2026-09-20T00:56:22Z	200	15.097122	11	2026-09-20T00:56:26Z	crossed	60
2026-09-20T00:57:22Z	200	0.362034	57	2026-09-20T00:56:26Z	ok	60
2026-09-20T00:58:22Z	000	25.002507				60
2026-09-20T00:59:22Z	200	16.071512	12	2026-09-20T00:59:26Z	crossed	60
2026-09-20T01:00:22Z	200	0.412427	57	2026-09-20T00:59:25Z	ok	60
2026-09-20T01:01:22Z	000	25.001661				60
2026-09-20T01:02:22Z	200	14.418421	13	2026-09-20T01:02:24Z	crossed	60
2026-09-20T01:03:22Z	200	0.495365	58	2026-09-20T01:02:24Z	ok	60
2026-09-20T01:04:22Z	000	25.001567				60
2026-09-20T01:05:22Z	200	22.179856	18	2026-09-20T01:05:27Z	crossed	60
2026-09-20T01:06:22Z	200	0.388799	55	2026-09-20T01:05:27Z	ok	60
2026-09-20T01:07:22Z	000	25.002650				60
2026-09-20T01:08:22Z	200	18.077427	14	2026-09-20T01:08:26Z	crossed	60
2026-09-20T01:09:22Z	200	0.488705	56	2026-09-20T01:08:27Z	ok	60
2026-09-20T01:10:22Z	000	25.001996				60
2026-09-20T01:11:22Z	200	17.475645	14	2026-09-20T01:11:26Z	crossed	60
2026-09-20T01:12:22Z	200	0.372491	56	2026-09-20T01:11:26Z	ok	60
2026-09-20T01:13:22Z	000	25.001903				60
2026-09-20T01:14:22Z	200	16.064577	12	2026-09-20T01:14:26Z	crossed	60
2026-09-20T01:15:22Z	200	0.388719	56	2026-09-20T01:14:27Z	ok	60
2026-09-20T01:16:22Z	000	25.002656				60
2026-09-20T01:17:22Z	200	15.484038	12	2026-09-20T01:17:25Z	crossed	60
2026-09-20T01:18:22Z	200	0.375386	56	2026-09-20T01:17:26Z	ok	60
2026-09-20T01:19:22Z	000	25.001856				60
2026-09-20T01:20:22Z	200	20.567035	19	2026-09-20T01:20:24Z	crossed	60
2026-09-20T01:21:22Z	200	0.441952	58	2026-09-20T01:20:24Z	ok	60
2026-09-20T01:22:22Z	000	25.001208				60
2026-09-20T01:23:22Z	200	21.471614	17	2026-09-20T01:23:27Z	crossed	60
2026-09-20T01:24:22Z	200	0.423101	56	2026-09-20T01:23:26Z	ok	60
2026-09-20T01:25:22Z	000	25.001409				60
2026-09-20T01:26:23Z	200	20.891403	17	2026-09-20T01:26:26Z	crossed	60
2026-09-20T01:27:23Z	200	0.400721	57	2026-09-20T01:26:27Z	ok	60
2026-09-20T01:28:23Z	000	25.002603				60
2026-09-20T01:29:23Z	200	23.585863	19	2026-09-20T01:29:28Z	crossed	60
2026-09-20T01:30:23Z	200	0.396187	56	2026-09-20T01:29:27Z	ok	60
2026-09-20T01:31:23Z	000	25.001017				60
2026-09-20T01:32:23Z	200	15.220640	12	2026-09-20T01:32:27Z	crossed	60
2026-09-20T01:33:23Z	200	0.360421	57	2026-09-20T01:32:26Z	ok	60
2026-09-20T01:34:23Z	000	25.002737				60
2026-09-20T01:35:23Z	200	18.178461	14	2026-09-20T01:35:27Z	crossed	60
2026-09-20T01:36:23Z	200	0.476796	57	2026-09-20T01:35:27Z	ok	60
2026-09-20T01:37:23Z	000	25.001820				60
2026-09-20T01:38:23Z	200	9.507529	15	2026-09-20T01:38:18Z	ok	60
2026-09-20T01:39:23Z	200	0.455620	65	2026-09-20T01:38:18Z	ok	60
2026-09-20T01:40:23Z	000	25.001953				60
2026-09-20T01:41:23Z	200	15.450878	22	2026-09-20T01:41:17Z	ok	60
2026-09-20T01:42:23Z	200	0.405471	66	2026-09-20T01:41:17Z	ok	60
2026-09-20T01:43:23Z	000	25.001172				60
2026-09-20T01:44:23Z	200	24.057163	20	2026-09-20T01:44:27Z	crossed	60
2026-09-20T01:45:24Z	200	0.398514	56	2026-09-20T01:44:28Z	ok	60
2026-09-20T01:46:24Z	000	25.002248				60
2026-09-20T01:47:24Z	200	15.584107	12	2026-09-20T01:47:28Z	crossed	60
2026-09-20T01:48:24Z	200	0.383459	56	2026-09-20T01:47:28Z	ok	60
2026-09-20T01:49:24Z	000	25.000767				60
2026-09-20T01:50:24Z	200	18.655553	15	2026-09-20T01:50:28Z	crossed	60
2026-09-20T01:51:24Z	200	0.398884	57	2026-09-20T01:50:27Z	ok	60
2026-09-20T01:52:24Z	000	25.001519				60
2026-09-20T01:53:24Z	200	9.860289	14	2026-09-20T01:53:19Z	ok	60
2026-09-20T01:54:24Z	200	0.420445	64	2026-09-20T01:53:20Z	ok	60
2026-09-20T01:55:24Z	000	25.002453				60
2026-09-20T01:56:24Z	200	0.330044	16	2026-09-20T01:56:09Z	ok	60
2026-09-20T01:57:24Z	200	0.387965	75	2026-09-20T01:56:09Z	ok	60
2026-09-20T01:58:24Z	000	25.002074				60
2026-09-20T01:59:24Z	200	0.330092	27	2026-09-20T01:58:58Z	ok	60
2026-09-20T02:00:24Z	200	0.415535	86	2026-09-20T01:58:58Z	ok	60
2026-09-20T02:01:24Z	000	25.001877				60
