read_at	http	secs	uptime_s	derived_start	crossed	interval_s
2026-09-20T09:20:48Z	200	0.313853	19	2026-09-20T09:20:30Z	ok	60
2026-09-20T09:21:48Z	200	0.316100	79	2026-09-20T09:20:29Z	ok	60
2026-09-20T09:22:48Z	000	25.001769				60
2026-09-20T09:23:48Z	200	0.323634	19	2026-09-20T09:23:29Z	ok	60
2026-09-20T09:24:48Z	200	0.358980	79	2026-09-20T09:23:30Z	ok	60
2026-09-20T09:25:48Z	000	25.001324				60
2026-09-20T09:26:48Z	200	0.330535	33	2026-09-20T09:26:15Z	ok	60
2026-09-20T09:27:48Z	200	0.394173	93	2026-09-20T09:26:16Z	ok	60
2026-09-20T09:28:48Z	000	25.001223				60
2026-09-20T09:29:48Z	200	0.334820	41	2026-09-20T09:29:07Z	ok	60
2026-09-20T09:30:48Z	000	25.001987				60
2026-09-20T09:31:48Z	200	18.008489	11	2026-09-20T09:31:56Z	crossed	60
2026-09-20T09:32:48Z	200	0.374775	52	2026-09-20T09:31:56Z	ok	60
2026-09-20T09:33:48Z	000	25.000865				60
2026-09-20T09:34:48Z	200	5.343118	11	2026-09-20T09:34:43Z	ok	60
2026-09-20T09:35:48Z	200	0.393067	65	2026-09-20T09:34:43Z	ok	60
2026-09-20T09:36:48Z	000	25.001696				60
2026-09-20T09:37:48Z	200	0.352610	19	2026-09-20T09:37:30Z	ok	60
2026-09-20T09:38:48Z	200	0.390738	78	2026-09-20T09:37:30Z	ok	60
2026-09-20T09:39:48Z	000	25.001066				60
2026-09-20T09:40:48Z	200	0.299190	19	2026-09-20T09:40:29Z	ok	60
2026-09-20T09:41:48Z	200	0.405026	79	2026-09-20T09:40:29Z	ok	60
2026-09-20T09:42:48Z	000	25.000819				60
2026-09-20T09:43:48Z	200	0.326218	18	2026-09-20T09:43:30Z	ok	60
2026-09-20T09:44:48Z	200	0.390193	78	2026-09-20T09:43:30Z	ok	60
2026-09-20T09:45:48Z	000	25.000739				60
2026-09-20T09:46:48Z	200	0.319720	19	2026-09-20T09:46:29Z	ok	60
2026-09-20T09:47:48Z	200	0.413845	80	2026-09-20T09:46:29Z	ok	60
2026-09-20T09:48:48Z	000	25.001400				60
2026-09-20T09:49:48Z	200	0.325350	19	2026-09-20T09:49:29Z	ok	60
2026-09-20T09:50:48Z	200	0.331145	80	2026-09-20T09:49:29Z	ok	60
2026-09-20T09:51:48Z	000	25.001378				60
2026-09-20T09:52:48Z	200	0.429848	19	2026-09-20T09:52:29Z	ok	60
2026-09-20T09:53:48Z	200	0.377109	79	2026-09-20T09:52:29Z	ok	60
2026-09-20T09:54:48Z	000	25.000854				60
2026-09-20T09:55:48Z	200	0.424178	33	2026-09-20T09:55:16Z	ok	60
2026-09-20T09:56:48Z	200	0.369104	93	2026-09-20T09:55:15Z	ok	60
2026-09-20T09:57:48Z	000	25.001354				60
2026-09-20T09:58:48Z	200	0.358144	39	2026-09-20T09:58:10Z	ok	60
2026-09-20T09:59:48Z	200	0.419326	98	2026-09-20T09:58:10Z	ok	60
2026-09-20T10:00:48Z	000	25.002737				60
2026-09-20T10:01:48Z	200	0.364294	43	2026-09-20T10:01:06Z	ok	60
2026-09-20T10:02:48Z	200	0.419923	102	2026-09-20T10:01:06Z	ok	60
2026-09-20T10:03:48Z	200	21.524141	10	2026-09-20T10:04:00Z	crossed	60
2026-09-20T10:04:48Z	200	0.416413	49	2026-09-20T10:03:59Z	ok	60
2026-09-20T10:05:48Z	000	25.002302				60
2026-09-20T10:06:48Z	200	24.338172	20	2026-09-20T10:06:53Z	crossed	60
2026-09-20T10:07:48Z	200	0.397788	55	2026-09-20T10:06:53Z	ok	60
2026-09-20T10:08:48Z	000	25.001787				60
2026-09-20T10:09:48Z	200	17.639895	14	2026-09-20T10:09:52Z	crossed	60
2026-09-20T10:10:48Z	200	0.641185	57	2026-09-20T10:09:52Z	ok	60
2026-09-20T10:11:48Z	000	25.001084				60
2026-09-20T10:12:48Z	200	14.395317	11	2026-09-20T10:12:51Z	crossed	60
2026-09-20T10:13:48Z	200	0.435512	58	2026-09-20T10:12:51Z	ok	60
2026-09-20T10:14:48Z	000	25.001451				60
2026-09-20T10:15:48Z	200	19.488798	15	2026-09-20T10:15:53Z	crossed	60
2026-09-20T10:16:48Z	200	0.395677	56	2026-09-20T10:15:52Z	ok	60
2026-09-20T10:17:48Z	000	25.000879				60
2026-09-20T10:18:48Z	200	16.385088	13	2026-09-20T10:18:52Z	crossed	60
2026-09-20T10:19:48Z	200	0.516373	57	2026-09-20T10:18:51Z	ok	60
2026-09-20T10:20:48Z	000	25.002177				60
2026-09-20T10:21:48Z	200	16.312455	15	2026-09-20T10:21:50Z	crossed	60
2026-09-20T10:22:48Z	200	0.345433	58	2026-09-20T10:21:50Z	ok	60
2026-09-20T10:23:48Z	000	25.002243				60
2026-09-20T10:24:48Z	200	19.223869	15	2026-09-20T10:24:53Z	crossed	60
2026-09-20T10:25:48Z	200	0.397322	56	2026-09-20T10:24:52Z	ok	60
2026-09-20T10:26:48Z	000	25.000785				60
2026-09-20T10:27:48Z	200	15.224663	12	2026-09-20T10:27:51Z	crossed	60
2026-09-20T10:28:48Z	200	0.391813	57	2026-09-20T10:27:52Z	ok	60
2026-09-20T10:29:48Z	000	25.001414				60
2026-09-20T10:30:48Z	200	17.565847	14	2026-09-20T10:30:52Z	crossed	60
2026-09-20T10:31:48Z	200	0.508411	56	2026-09-20T10:30:52Z	ok	60
2026-09-20T10:32:48Z	000	25.002555				60
2026-09-20T10:33:48Z	200	13.266171	10	2026-09-20T10:33:52Z	crossed	60
2026-09-20T10:34:48Z	200	0.437298	56	2026-09-20T10:33:52Z	ok	60
2026-09-20T10:35:48Z	000	25.002204				60
2026-09-20T10:36:48Z	200	23.462399	19	2026-09-20T10:36:53Z	crossed	60
2026-09-20T10:37:48Z	200	0.401730	56	2026-09-20T10:36:52Z	ok	60
2026-09-20T10:38:48Z	000	25.001894				60
2026-09-20T10:39:48Z	200	19.629014	16	2026-09-20T10:39:51Z	crossed	60
2026-09-20T10:40:48Z	200	0.340685	57	2026-09-20T10:39:52Z	ok	60
2026-09-20T10:41:48Z	000	25.002750				60
2026-09-20T10:42:48Z	200	22.127817	18	2026-09-20T10:42:52Z	crossed	60
2026-09-20T10:43:48Z	200	1.281568	57	2026-09-20T10:42:52Z	ok	60
2026-09-20T10:44:48Z	000	25.001988				60
2026-09-20T10:45:48Z	200	13.999485	10	2026-09-20T10:45:52Z	crossed	60
2026-09-20T10:46:48Z	200	0.398392	56	2026-09-20T10:45:52Z	ok	60
2026-09-20T10:47:48Z	000	25.001065				60
2026-09-20T10:48:48Z	200	13.457784	10	2026-09-20T10:48:52Z	crossed	60
2026-09-20T10:49:48Z	200	0.396133	57	2026-09-20T10:48:51Z	ok	60
2026-09-20T10:50:48Z	000	25.002608				60
2026-09-20T10:51:48Z	200	15.984194	12	2026-09-20T10:51:52Z	crossed	60
2026-09-20T10:52:48Z	200	0.370115	56	2026-09-20T10:51:53Z	ok	60
2026-09-20T10:53:48Z	000	25.001713				60
2026-09-20T10:54:48Z	200	23.727690	19	2026-09-20T10:54:53Z	crossed	60
2026-09-20T10:55:48Z	200	0.450062	56	2026-09-20T10:54:52Z	ok	60
2026-09-20T10:56:48Z	000	25.002683				60
2026-09-20T10:57:48Z	200	19.590908	15	2026-09-20T10:57:53Z	crossed	60
2026-09-20T10:58:48Z	200	0.427936	56	2026-09-20T10:57:53Z	ok	60
2026-09-20T10:59:48Z	000	25.002657				60
2026-09-20T11:00:48Z	200	17.491799	14	2026-09-20T11:00:51Z	crossed	60
2026-09-20T11:01:48Z	200	0.385305	57	2026-09-20T11:00:52Z	ok	60
2026-09-20T11:02:48Z	000	25.001315				60
2026-09-20T11:03:48Z	200	15.159168	11	2026-09-20T11:03:52Z	crossed	60
2026-09-20T11:04:48Z	200	0.421783	57	2026-09-20T11:03:52Z	ok	60
2026-09-20T11:05:48Z	000	25.002624				60
2026-09-20T11:06:48Z	200	3.568058	12	2026-09-20T11:06:39Z	ok	60
2026-09-20T11:07:48Z	200	0.415352	69	2026-09-20T11:06:40Z	ok	60
2026-09-20T11:08:48Z	000	25.001668				60
2026-09-20T11:09:48Z	200	0.231473	22	2026-09-20T11:09:26Z	ok	60
2026-09-20T11:10:48Z	200	0.457337	83	2026-09-20T11:09:26Z	ok	60
2026-09-20T11:11:48Z	000	25.001490				60
2026-09-20T11:12:48Z	200	0.372836	31	2026-09-20T11:12:17Z	ok	60
2026-09-20T11:13:48Z	200	0.366917	91	2026-09-20T11:12:18Z	ok	60
2026-09-20T11:14:48Z	000	25.001734				60
2026-09-20T11:15:48Z	200	0.366501	45	2026-09-20T11:15:03Z	ok	60
2026-09-20T11:16:48Z	000	25.001752				60
2026-09-20T11:17:48Z	200	21.901499	12	2026-09-20T11:17:58Z	crossed	60
2026-09-20T11:18:48Z	200	0.349477	51	2026-09-20T11:17:57Z	ok	60
2026-09-20T11:19:48Z	000	25.000754				60
2026-09-20T11:20:48Z	200	17.532231	13	2026-09-20T11:20:53Z	crossed	60
2026-09-20T11:21:48Z	200	0.381318	56	2026-09-20T11:20:52Z	ok	60
2026-09-20T11:22:48Z	000	25.003763				60
2026-09-20T11:23:48Z	200	13.530054	21	2026-09-20T11:23:41Z	ok	60
2026-09-20T11:24:48Z	200	0.329951	67	2026-09-20T11:23:41Z	ok	60
2026-09-20T11:25:48Z	000	25.002088				60
2026-09-20T11:26:48Z	200	0.219710	11	2026-09-20T11:26:38Z	ok	60
2026-09-20T11:27:48Z	200	0.355625	70	2026-09-20T11:26:38Z	ok	60
2026-09-20T11:28:48Z	000	25.002242				60
2026-09-20T11:29:48Z	200	0.348463	23	2026-09-20T11:29:26Z	ok	60
2026-09-20T11:30:48Z	200	0.421900	83	2026-09-20T11:29:25Z	ok	60
2026-09-20T11:31:48Z	000	25.002862				60
2026-09-20T11:32:48Z	200	0.351701	36	2026-09-20T11:32:13Z	ok	60
2026-09-20T11:33:48Z	200	0.346752	95	2026-09-20T11:32:13Z	ok	60
2026-09-20T11:34:48Z	200	23.467707	10	2026-09-20T11:35:02Z	crossed	60
2026-09-20T11:35:48Z	200	0.371160	47	2026-09-20T11:35:01Z	ok	60
2026-09-20T11:36:48Z	000	25.002587				60
2026-09-20T11:37:48Z	200	18.469132	17	2026-09-20T11:37:50Z	crossed	60
2026-09-20T11:38:48Z	200	0.571506	58	2026-09-20T11:37:51Z	ok	60
2026-09-20T11:39:48Z	000	25.002402				60
2026-09-20T11:40:48Z	200	16.130839	14	2026-09-20T11:40:50Z	crossed	60
2026-09-20T11:41:48Z	200	0.365014	58	2026-09-20T11:40:50Z	ok	60
2026-09-20T11:42:48Z	000	25.002337				60
2026-09-20T11:43:48Z	200	5.711081	15	2026-09-20T11:43:39Z	ok	60
2026-09-20T11:44:48Z	200	0.362443	70	2026-09-20T11:43:39Z	ok	60
2026-09-20T11:45:48Z	000	25.002241				60
2026-09-20T11:46:48Z	200	0.349750	22	2026-09-20T11:46:26Z	ok	60
2026-09-20T11:47:48Z	200	0.360212	82	2026-09-20T11:46:27Z	ok	60
2026-09-20T11:48:48Z	000	25.002230				60
2026-09-20T11:49:48Z	200	0.259305	20	2026-09-20T11:49:28Z	ok	60
2026-09-20T11:50:48Z	200	0.363609	81	2026-09-20T11:49:28Z	ok	60
2026-09-20T11:51:48Z	000	25.002498				60
2026-09-20T11:52:48Z	200	0.372905	26	2026-09-20T11:52:22Z	ok	60
2026-09-20T11:53:48Z	200	0.409543	87	2026-09-20T11:52:22Z	ok	60
2026-09-20T11:54:48Z	000	25.002758				60
2026-09-20T11:55:48Z	200	0.308276	33	2026-09-20T11:55:15Z	ok	60
2026-09-20T11:56:48Z	200	0.378227	94	2026-09-20T11:55:15Z	ok	60
2026-09-20T11:57:48Z	000	25.001917				60
2026-09-20T11:58:48Z	200	0.366137	38	2026-09-20T11:58:10Z	ok	60
2026-09-20T11:59:48Z	200	0.365227	98	2026-09-20T11:58:11Z	ok	60
2026-09-20T12:00:48Z	000	25.002669				60
2026-09-20T12:01:48Z	200	0.382376	49	2026-09-20T12:00:59Z	ok	60
2026-09-20T12:02:48Z	000	25.002445				60
