table,pick_path_status,pick_path_readers,other_prod_readers
nfl_pfr_adv,used-in-pick-path,server/services/nfl-advanced.js;server/services/nfl-availability.js;server/services/nfl-engine-registry.js;server/services/nfl-player-value.js,server/routes/model.js;server/services/nfl-blind-audit.js;server/services/nfl-data-consistency.js;server/services/nfl-engine-backfill.js
nfl_pick_decisions,used-in-pick-path,server/services/nfl-auto-picks.js;server/services/nfl-decision-tape.js;server/services/scheduler.js,server/migrations/027_decision_tape.js;server/migrations/045_market_identity_flag.js;server/routes/nfl-market.js;server/services/nfl-expert-council.js
nfl_pick_explanation_audits,used-outside-pick-path,,server/services/nfl-pick-explanation-audit.js
nfl_pick_watch_log,used-outside-pick-path,,server/services/nfl-pick-watch.js
nfl_play_by_play,used-in-pick-path,server/services/scheduler.js,server/services/audit-registry.js;server/services/live-edge.js;server/services/nfl-blind-audit.js;server/services/nfl-espn-pbp.js
nfl_play_charting,used-outside-pick-path,,server/services/nfl-blind-audit.js;server/services/nfl-feature-coverage.js;server/services/nfl-formations.js;server/services/nfl-weekly-feature-store.js
nfl_play_formations,used-in-pick-path,server/services/nfl-advanced.js,server/services/nfl-blind-audit.js;server/services/nfl-feature-coverage.js;server/services/nfl-formations.js;server/services/nfl-weekly-feature-store.js
nfl_player_feature_vectors,used-outside-pick-path,,server/services/nfl-blind-audit.js;server/services/nfl-model-growth.js;server/services/nfl-weekly-feature-store.js
nfl_player_roster_events,used-in-pick-path,server/services/nfl-roster-strength.js,server/services/nfl-blind-audit.js;server/services/nfl-player-state.js;server/services/nfl-team-card.js
nfl_player_state_quarantine,used-outside-pick-path,,server/services/nfl-player-state.js
nfl_player_week_features,used-in-pick-path,server/services/football-context.js;server/services/nfl-advanced.js;server/services/nfl-engine-registry.js;server/services/nfl-pbp.js,server/services/nfl-blind-audit.js;server/services/nfl-data-consistency.js;server/services/nfl-engine-backfill.js;server/services/nfl-experiments.js
nfl_policy_audits,used-in-pick-path,server/services/nfl-replay.js,server/services/nfl-evidence.js
nfl_postgame_truth_packets,used-outside-pick-path,,server/services/nfl-postgame-truth.js
nfl_pregame_snapshot_history,used-in-pick-path,server/services/nfl-player-value.js;server/services/nfl-pregame.js,server/services/nfl-evidence.js
nfl_prop_calibration_fits,used-outside-pick-path,,server/services/decay-watch.js;server/services/nfl-prop-calibration.js
nfl_prop_clv,used-in-pick-path,server/services/scheduler.js,server/routes/nfl-betting.js;server/services/nfl-execution-clv-downsize.js;server/services/nfl-prop-clv.js;server/services/prop-feeds.js
nfl_prop_policy_archive,used-outside-pick-path,,server/services/nfl-prop-clv.js
nfl_prop_quote_snapshots,used-outside-pick-path,,server/services/nfl-prop-clv.js;server/services/nfl-props.js;server/services/prop-feeds.js;server/services/props-total-consistency.js
