table,source,live_rows,repo_copy_rows,extract_rows,writers
nfl_tweet_line_watch,Twitter,23900,0,0,server/services/nfl-tweet-line-correlation.js
nfl_user_bets,app users,,0,0,server/services/nfl-user-bets.js
nfl_validation_windows,derived/app,,2,0,server/services/nfl-evidence.js
nfl_verified_events,derived/app,119639,0,0,server/services/nfl-event-archive.js
nfl_weekly_expert_examples,derived/app,,0,0,server/services/nfl-expert-council.js
nflverse_player_positions,nflverse,,25065,0,server/services/nflverse.js
odds_cache,The Odds API,,91,0,server/services/odds-api.js
odds_usage,The Odds API,1,0,0,server/services/odds-api.js
off_contracts,derived/app,,,0,server/services/offseason-data.js
off_depth_chart,derived/app,,,0,server/services/offseason-data.js
off_draft_picks,derived/app,,,0,server/services/offseason-data.js
off_ngs_season,derived/app,,,0,server/services/offseason-data.js
off_pfr_adv_season,derived/app,,,0,server/services/offseason-data.js
off_player_season_features,derived/app,,,0,server/services/offseason-data.js
off_qbr_season,derived/app,,,0,server/services/offseason-data.js
off_rosters,derived/app,,,0,server/services/offseason-data.js
off_schedule_games,derived/app,,,0,server/services/offseason-data.js
off_sleeper_players,derived/app,,,0,server/services/offseason-data.js
off_team_season,derived/app,,,0,server/services/offseason-data.js
off_team_season_stats,derived/app,,,0,server/services/offseason-data.js
parlay_cache,derived/app,,,0,server/services/parlay-api.js
parlay_usage,derived/app,,,0,server/services/parlay-api.js
pick_values,derived/app,,0,0,server/routes/aggregates.js
player_accolades,derived/app,,0,0,server/routes/accolades.js
player_analysis,derived/app,,0,0,server/routes/players.js
player_gamelog,derived/app,,0,0,server/routes/edge.js
player_head_audits,derived/app,,0,0,server/services/player-head-validation.js
player_identity_repairs,no writer found in repo (legacy/unused or written by deleted code),,0,0,
player_metrics,derived/app,,0,0,server/routes/aggregates.js
player_season_stats,derived/app,,1291,0,server/routes/stats.js
player_team_changes,ESPN,,29,0,server/routes/espn.js
player_week_snaps,nflverse,43461,0,0,server/services/nflverse.js
player_week_usage,nflverse,43771,41572,0,server/services/nflverse.js
players,nflverse,,8640,0,server/routes/espn.js;server/services/espn-draft.js;server/services/nflverse.js
polymarket_line_moves,Polymarket API,,90,0,server/services/polymarket-lines.js
polymarket_markets,Polymarket API,,6475,0,server/services/polymarket.js
polymarket_price_history,Polymarket API,29758,0,0,server/services/polymarket.js
polymarket_quotes,Polymarket API,22909561,69655,0,server/services/polymarket.js
prediction_market_flow,Kalshi/Polymarket,,3200,0,server/services/prediction-markets.js
prediction_market_quotes,Kalshi/Polymarket,,1024,0,server/services/prediction-markets.js
press_availability,YouTube press conferences,171,,0,server/services/press-conference.js
press_conferences,YouTube press conferences,2455,,0,server/services/press-conference.js
prop_correlation_estimates,derived/app,,0,0,server/services/nfl-prop-correlation.js
prop_head_audits,derived/app,,,0,server/services/nfl-prop-head-validation.js
props_auto_picks,derived/app,,0,0,server/routes/props.js
ranking_entries,Next Gen Stats,,105,0,server/routes/aggregates.js;server/routes/rankings.js
ranking_sets,Next Gen Stats,,1,0,server/routes/aggregates.js;server/routes/rankings.js
research_hypotheses,model registry (derived),,4,0,server/services/model-intelligence.js
roster_players,derived/app,,2421,0,server/routes/nfldata.js
schedule_games,derived/app,,544,0,server/routes/nfldata.js
schema_migrations,no writer found in repo (legacy/unused or written by deleted code),,16,53,
schema_preflight,no writer found in repo (legacy/unused or written by deleted code),,,,
scout_reports,derived/app,,0,0,server/routes/edge.js
sgo_usage,SportsGameOdds API,,0,0,server/services/sportsgameodds.js
shadow_decisions,derived/app,189,56,0,server/services/beat-the-close.js;server/services/shadow-ledger.js
shrinkage_fits,derived/app,,0,0,server/services/shrinkage-fit.js
shrinkage_k,derived/app,,0,0,server/services/shrinkage-fit.js
slot_weakness,derived/app,,0,0,server/routes/accolades.js
sync_log,derived/app,,44,0,server/services/scheduler.js
team_cap,derived/app,,32,0,server/routes/nfldata.js
trend_findings,derived/app,,0,0,server/services/trend-watch.js
trending_players,derived/app,,0,0,server/routes/tradelab.js
twitterapi_io_usage,derived/app,,0,0,server/services/twitterapi-io.js
weekly_ensemble_fits,derived/app,,0,0,server/services/weekly-weight-store.js
weekly_prediction_snapshots,derived/app,,0,0,server/services/weekly-learning.js
yt_channels,YouTube press conferences,,,0,server/services/press-conference.js
